Game ID,Game Rank,Game Name,Platform,Game Year,Genre,Publisher
173,173,Assassin's Creed III,X360,2012,Action,Ubisoft
174,174,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft
175,175,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts
176,176,Donkey Kong 64,N64,1999,Platform,Nintendo
177,177,Assassin's Creed II,X360,2009,Action,Ubisoft
178,178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo
179,179,Tomb Raider II,PS,1997,Action,Eidos Interactive
180,180,Madden NFL 2004,PS2,2004,Sports,Electronic Arts
181,181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix
182,182,Diablo III,PC,2012,Role-Playing,Activision
183,183,Super Mario Bros. 3,GBA,2003,Platform,Nintendo
184,184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo
185,185,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo
186,186,FIFA Soccer 13,X360,2012,Action,Electronic Arts
187,187,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo
188,188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo
189,189,Tomodachi Life,3DS,2013,Simulation,Nintendo
190,190,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega
191,191,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts
192,192,Kirby's Dream Land,GB,1992,Platform,Nintendo
193,193,Fable III,X360,2010,Role-Playing,Microsoft Game Studios
194,194,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision
195,195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios
196,196,Guitar Hero II,PS2,2006,Misc,RedOctane
197,197,Resident Evil 5,PS3,2009,Action,Capcom
198,198,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive
199,199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive
200,200,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts
